"Notes"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	Deaths	Population	Crude Rate
	"2010"	"2010"	"15-24 years"	"15-24"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	284	665088	42.7
	"2010"	"2010"	"15-24 years"	"15-24"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	170	665088	25.6
	"2010"	"2010"	"15-24 years"	"15-24"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	160	665088	24.1
	"2010"	"2010"	"15-24 years"	"15-24"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	114	665088	17.1
	"2010"	"2010"	"15-24 years"	"15-24"	"Accidental discharge of firearms (W32-W34)"	"GR113-119"	11	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	25	665088	3.8
	"2010"	"2010"	"15-24 years"	"15-24"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	59	665088	8.9
	"2010"	"2010"	"15-24 years"	"15-24"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	14	665088	Unreliable
	"2010"	"2010"	"15-24 years"	"15-24"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	71	665088	10.7
	"2010"	"2010"	"15-24 years"	"15-24"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	45	665088	6.8
	"2010"	"2010"	"15-24 years"	"15-24"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	26	665088	3.9
	"2010"	"2010"	"15-24 years"	"15-24"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	167	665088	25.1
	"2010"	"2010"	"15-24 years"	"15-24"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	148	665088	22.3
	"2010"	"2010"	"15-24 years"	"15-24"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	19	665088	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	28	628433	4.5
	"2010"	"2010"	"25-34 years"	"25-34"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	73	628433	11.6
	"2010"	"2010"	"25-34 years"	"25-34"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	10	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	19	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	14	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	124	628433	19.7
	"2010"	"2010"	"25-34 years"	"25-34"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	109	628433	17.3
	"2010"	"2010"	"25-34 years"	"25-34"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	44	628433	7.0
	"2010"	"2010"	"25-34 years"	"25-34"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	11	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	33	628433	5.3
	"2010"	"2010"	"25-34 years"	"25-34"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	20	628433	3.2
	"2010"	"2010"	"25-34 years"	"25-34"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	13	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Other heart diseases (I26-I51)"	"GR113-064"	55	628433	8.8
	"2010"	"2010"	"25-34 years"	"25-34"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	47	628433	7.5
	"2010"	"2010"	"25-34 years"	"25-34"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	12	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	13	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Pneumonia (J12-J18)"	"GR113-078"	12	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	10	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	31	628433	4.9
	"2010"	"2010"	"25-34 years"	"25-34"	"All other diseases (Residual) "	"GR113-111"	63	628433	10.0
	"2010"	"2010"	"25-34 years"	"25-34"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	320	628433	50.9
	"2010"	"2010"	"25-34 years"	"25-34"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	147	628433	23.4
	"2010"	"2010"	"25-34 years"	"25-34"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	143	628433	22.8
	"2010"	"2010"	"25-34 years"	"25-34"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	173	628433	27.5
	"2010"	"2010"	"25-34 years"	"25-34"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	16	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	128	628433	20.4
	"2010"	"2010"	"25-34 years"	"25-34"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	15	628433	Unreliable
	"2010"	"2010"	"25-34 years"	"25-34"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	102	628433	16.2
	"2010"	"2010"	"25-34 years"	"25-34"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	64	628433	10.2
	"2010"	"2010"	"25-34 years"	"25-34"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	38	628433	6.0
	"2010"	"2010"	"25-34 years"	"25-34"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	162	628433	25.8
	"2010"	"2010"	"25-34 years"	"25-34"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	137	628433	21.8
	"2010"	"2010"	"25-34 years"	"25-34"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	25	628433	4.0
	"2010"	"2010"	"25-34 years"	"25-34"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	21	628433	3.3
	"2010"	"2010"	"25-34 years"	"25-34"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	20	628433	3.2
	"2010"	"2010"	"35-44 years"	"35-44"	"#Septicemia (A40-A41)"	"GR113-010"	22	564599	3.9
	"2010"	"2010"	"35-44 years"	"35-44"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	62	564599	11.0
	"2010"	"2010"	"35-44 years"	"35-44"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	197	564599	34.9
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	23	564599	4.1
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	12	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	26	564599	4.6
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasm of breast (C50)"	"GR113-029"	27	564599	4.8
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	15	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	10	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	23	564599	4.1
	"2010"	"2010"	"35-44 years"	"35-44"	"Leukemia (C91-C95)"	"GR113-040"	12	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	24	564599	4.3
	"2010"	"2010"	"35-44 years"	"35-44"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	28	564599	5.0
	"2010"	"2010"	"35-44 years"	"35-44"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	362	564599	64.1
	"2010"	"2010"	"35-44 years"	"35-44"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	289	564599	51.2
	"2010"	"2010"	"35-44 years"	"35-44"	"Hypertensive heart disease (I11)"	"GR113-056"	27	564599	4.8
	"2010"	"2010"	"35-44 years"	"35-44"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	158	564599	28.0
	"2010"	"2010"	"35-44 years"	"35-44"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	83	564599	14.7
	"2010"	"2010"	"35-44 years"	"35-44"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	73	564599	12.9
	"2010"	"2010"	"35-44 years"	"35-44"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	42	564599	7.4
	"2010"	"2010"	"35-44 years"	"35-44"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	31	564599	5.5
	"2010"	"2010"	"35-44 years"	"35-44"	"Other heart diseases (I26-I51)"	"GR113-064"	98	564599	17.4
	"2010"	"2010"	"35-44 years"	"35-44"	"Heart failure (I50)"	"GR113-067"	12	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	86	564599	15.2
	"2010"	"2010"	"35-44 years"	"35-44"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	13	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	51	564599	9.0
	"2010"	"2010"	"35-44 years"	"35-44"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	24	564599	4.3
	"2010"	"2010"	"35-44 years"	"35-44"	"Pneumonia (J12-J18)"	"GR113-078"	22	564599	3.9
	"2010"	"2010"	"35-44 years"	"35-44"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	15	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	10	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	22	564599	3.9
	"2010"	"2010"	"35-44 years"	"35-44"	"Alcoholic liver disease (K70)"	"GR113-094"	13	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	29	564599	5.1
	"2010"	"2010"	"35-44 years"	"35-44"	"Renal failure (N17-N19)"	"GR113-100"	29	564599	5.1
	"2010"	"2010"	"35-44 years"	"35-44"	"#Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)"	"GR113-109"	10	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	34	564599	6.0
	"2010"	"2010"	"35-44 years"	"35-44"	"All other diseases (Residual) "	"GR113-111"	136	564599	24.1
	"2010"	"2010"	"35-44 years"	"35-44"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	286	564599	50.7
	"2010"	"2010"	"35-44 years"	"35-44"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	115	564599	20.4
	"2010"	"2010"	"35-44 years"	"35-44"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	104	564599	18.4
	"2010"	"2010"	"35-44 years"	"35-44"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	171	564599	30.3
	"2010"	"2010"	"35-44 years"	"35-44"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	13	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	14	564599	Unreliable
	"2010"	"2010"	"35-44 years"	"35-44"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	110	564599	19.5
	"2010"	"2010"	"35-44 years"	"35-44"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	20	564599	3.5
	"2010"	"2010"	"35-44 years"	"35-44"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	99	564599	17.5
	"2010"	"2010"	"35-44 years"	"35-44"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	70	564599	12.4
	"2010"	"2010"	"35-44 years"	"35-44"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	29	564599	5.1
	"2010"	"2010"	"35-44 years"	"35-44"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	91	564599	16.1
	"2010"	"2010"	"35-44 years"	"35-44"	"Assault (homicide) by discharge of firearms (*U01.4,X93-X95)"	"GR113-128"	71	564599	12.6
	"2010"	"2010"	"35-44 years"	"35-44"	"Assault (homicide) by other and unspecified means and their sequelae (*U01.0-*U01.3,*U01.5-*U01.9,*U02,X85-X92,X96-Y09,Y87.1)"	"GR113-129"	20	564599	3.5
	"2010"	"2010"	"35-44 years"	"35-44"	"Events of undetermined intent (Y10-Y34,Y87.2,Y89.9)"	"GR113-131"	20	564599	3.5
	"2010"	"2010"	"35-44 years"	"35-44"	"Other and unspecified events of undetermined intent and their sequelae (Y10-Y21,Y25-Y34,Y87.2,Y89.9)"	"GR113-133"	20	564599	3.5
	"2010"	"2010"	"45-54 years"	"45-54"	"#Septicemia (A40-A41)"	"GR113-010"	65	654375	9.9
	"2010"	"2010"	"45-54 years"	"45-54"	"#Viral hepatitis (B15-B19)"	"GR113-015"	44	654375	6.7
	"2010"	"2010"	"45-54 years"	"45-54"	"#Human immunodeficiency virus (HIV) disease (B20-B24)"	"GR113-016"	82	654375	12.5
	"2010"	"2010"	"45-54 years"	"45-54"	"#Malignant neoplasms (C00-C97)"	"GR113-019"	956	654375	146.1
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of lip, oral cavity and pharynx (C00-C14)"	"GR113-020"	29	654375	4.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of esophagus (C15)"	"GR113-021"	25	654375	3.8
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of stomach (C16)"	"GR113-022"	21	654375	3.2
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of colon, rectum and anus (C18-C21)"	"GR113-023"	114	654375	17.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of liver and intrahepatic bile ducts (C22)"	"GR113-024"	39	654375	6.0
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of pancreas (C25)"	"GR113-025"	51	654375	7.8
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of trachea, bronchus and lung (C33-C34)"	"GR113-027"	271	654375	41.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant melanoma of skin (C43)"	"GR113-028"	13	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of breast (C50)"	"GR113-029"	101	654375	15.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of cervix uteri (C53)"	"GR113-030"	18	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of corpus uteri and uterus, part unspecified (C54-C55)"	"GR113-031"	12	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasm of ovary (C56)"	"GR113-032"	13	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of kidney and renal pelvis (C64-C65)"	"GR113-034"	23	654375	3.5
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of meninges, brain and other parts of central nervous system (C70-C72)"	"GR113-036"	28	654375	4.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Malignant neoplasms of lymphoid, hematopoietic and related tissue (C81-C96)"	"GR113-037"	66	654375	10.1
	"2010"	"2010"	"45-54 years"	"45-54"	"Non-Hodgkin lymphoma (C82-C85)"	"GR113-039"	30	654375	4.6
	"2010"	"2010"	"45-54 years"	"45-54"	"Leukemia (C91-C95)"	"GR113-040"	24	654375	3.7
	"2010"	"2010"	"45-54 years"	"45-54"	"Multiple myeloma and immunoproliferative neoplasms (C88,C90)"	"GR113-041"	10	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"All other and unspecified malignant neoplasms (C17,C23-C24,C26-C31,C37-C41,C44-C49,C51-C52,C57-C60,C62-C63,C66,C68-C69,C73-C80,C97)"	"GR113-043"	109	654375	16.7
	"2010"	"2010"	"45-54 years"	"45-54"	"#Diabetes mellitus (E10-E14)"	"GR113-046"	102	654375	15.6
	"2010"	"2010"	"45-54 years"	"45-54"	"Major cardiovascular diseases (I00-I78)"	"GR113-053"	1052	654375	160.8
	"2010"	"2010"	"45-54 years"	"45-54"	"#Diseases of heart (I00-I09,I11,I13,I20-I51)"	"GR113-054"	868	654375	132.6
	"2010"	"2010"	"45-54 years"	"45-54"	"Hypertensive heart disease (I11)"	"GR113-056"	95	654375	14.5
	"2010"	"2010"	"45-54 years"	"45-54"	"Ischemic heart diseases (I20-I25)"	"GR113-058"	563	654375	86.0
	"2010"	"2010"	"45-54 years"	"45-54"	"Acute myocardial infarction (I21-I22)"	"GR113-059"	266	654375	40.6
	"2010"	"2010"	"45-54 years"	"45-54"	"Other acute ischemic heart diseases (I24)"	"GR113-060"	10	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Other forms of chronic ischemic heart disease (I20,I25)"	"GR113-061"	287	654375	43.9
	"2010"	"2010"	"45-54 years"	"45-54"	"Atherosclerotic cardiovascular disease, so described (I25.0)"	"GR113-062"	137	654375	20.9
	"2010"	"2010"	"45-54 years"	"45-54"	"All other forms of chronic ischemic heart disease (I20,I25.1-I25.9)"	"GR113-063"	150	654375	22.9
	"2010"	"2010"	"45-54 years"	"45-54"	"Other heart diseases (I26-I51)"	"GR113-064"	199	654375	30.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Heart failure (I50)"	"GR113-067"	45	654375	6.9
	"2010"	"2010"	"45-54 years"	"45-54"	"All other forms of heart disease (I26-I28,I34-I38,I42-I49,I51)"	"GR113-068"	153	654375	23.4
	"2010"	"2010"	"45-54 years"	"45-54"	"#Essential hypertension and hypertensive renal disease (I10,I12,I15)"	"GR113-069"	30	654375	4.6
	"2010"	"2010"	"45-54 years"	"45-54"	"#Cerebrovascular diseases (I60-I69)"	"GR113-070"	127	654375	19.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Other diseases of circulatory system (I71-I78)"	"GR113-072"	26	654375	4.0
	"2010"	"2010"	"45-54 years"	"45-54"	"#Aortic aneurysm and dissection (I71)"	"GR113-073"	16	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Other diseases of arteries, arterioles and capillaries (I72-I78)"	"GR113-074"	10	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"#Influenza and pneumonia (J09-J18)"	"GR113-076"	35	654375	5.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Pneumonia (J12-J18)"	"GR113-078"	34	654375	5.2
	"2010"	"2010"	"45-54 years"	"45-54"	"#Chronic lower respiratory diseases (J40-J47)"	"GR113-082"	74	654375	11.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Other chronic lower respiratory diseases (J44,J47)"	"GR113-086"	61	654375	9.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Other diseases of respiratory system (J00-J06,J30- J39,J67,J70-J98)"	"GR113-089"	34	654375	5.2
	"2010"	"2010"	"45-54 years"	"45-54"	"#Chronic liver disease and cirrhosis (K70,K73-K74)"	"GR113-093"	124	654375	18.9
	"2010"	"2010"	"45-54 years"	"45-54"	"Alcoholic liver disease (K70)"	"GR113-094"	57	654375	8.7
	"2010"	"2010"	"45-54 years"	"45-54"	"Other chronic liver disease and cirrhosis (K73-K74)"	"GR113-095"	67	654375	10.2
	"2010"	"2010"	"45-54 years"	"45-54"	"#Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)"	"GR113-097"	74	654375	11.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Renal failure (N17-N19)"	"GR113-100"	68	654375	10.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)"	"GR113-110"	92	654375	14.1
	"2010"	"2010"	"45-54 years"	"45-54"	"All other diseases (Residual) "	"GR113-111"	304	654375	46.5
	"2010"	"2010"	"45-54 years"	"45-54"	"#Accidents (unintentional injuries) (V01-X59,Y85-Y86)"	"GR113-112"	350	654375	53.5
	"2010"	"2010"	"45-54 years"	"45-54"	"Transport accidents (V01-V99,Y85)"	"GR113-113"	133	654375	20.3
	"2010"	"2010"	"45-54 years"	"45-54"	"Motor vehicle accidents (V02-V04,V09.0,V09.2,V12-V14,V19.0-V19.2,V19.4-V19.6,V20-V79,V80.3-V80.5,V81.0-V81.1,V82.0-V82.1,V83-V86,V87.0-V87.8,V88.0-V88.8,V89.0,V89.2)"	"GR113-114"	123	654375	18.8
	"2010"	"2010"	"45-54 years"	"45-54"	"Nontransport accidents (W00-X59,Y86)"	"GR113-117"	217	654375	33.2
	"2010"	"2010"	"45-54 years"	"45-54"	"Falls (W00-W19)"	"GR113-118"	15	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Accidental drowning and submersion (W65-W74)"	"GR113-120"	11	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Accidental exposure to smoke, fire and flames (X00-X09)"	"GR113-121"	17	654375	Unreliable
	"2010"	"2010"	"45-54 years"	"45-54"	"Accidental poisoning and exposure to noxious substances (X40-X49)"	"GR113-122"	139	654375	21.2
	"2010"	"2010"	"45-54 years"	"45-54"	"Other and unspecified nontransport accidents and their sequelae (W20-W31,W35-W64,W75-W99,X10-X39,X50-X59,Y86)"	"GR113-123"	27	654375	4.1
	"2010"	"2010"	"45-54 years"	"45-54"	"#Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)"	"GR113-124"	114	654375	17.4
	"2010"	"2010"	"45-54 years"	"45-54"	"Intentional self-harm (suicide) by discharge of firearms (X72-X74)"	"GR113-125"	73	654375	11.2
	"2010"	"2010"	"45-54 years"	"45-54"	"Intentional self-harm (suicide) by other and unspecified means and their sequelae (*U03,X60-X71,X75-X84,Y87.0)"	"GR113-126"	41	654375	6.3
	"2010"	"2010"	"45-54 years"	"45-54"	"#Assault (homicide) (*U01-*U02,X85-Y09,Y87.1)"	"GR113-127"	52	654375	7.9
